,date,title,link,Stock,Source,,,,,
1,"Tue, 28 Sep 2021 22:22:44 GMT",Op-Ed: On The Beach - InDepthNH.orgInDepthNH.org - InDepthNH.org,http://indepthnh.org/2021/09/28/op-ed-on-the-beach/,AMZN, InDepthNH.org,,,,,
2,"Mon, 27 Sep 2021 04:58:00 GMT",Tracking Chase Coleman's Tiger Global Portfolio - Q2 2021 Update - Seeking Alpha,https://seekingalpha.com/article/4457204-chase-colemans-tiger-global-portfolio-q2-2021-update,ADBE, Seeking Alpha,,,,,
3,"Mon, 27 Sep 2021 04:58:00 GMT",Tracking Chase Coleman's Tiger Global Portfolio - Q2 2021 Update - Seeking Alpha,https://seekingalpha.com/article/4457204-chase-colemans-tiger-global-portfolio-q2-2021-update,CRM, Seeking Alpha,,,,,
4,"Mon, 27 Sep 2021 04:58:00 GMT",Tracking Chase Coleman's Tiger Global Portfolio - Q2 2021 Update - Seeking Alpha,https://seekingalpha.com/article/4457204-chase-colemans-tiger-global-portfolio-q2-2021-update,MA, Seeking Alpha,,,,,
5,"Mon, 27 Sep 2021 04:58:00 GMT",Tracking Chase Coleman's Tiger Global Portfolio - Q2 2021 Update - Seeking Alpha,https://seekingalpha.com/article/4457204-chase-colemans-tiger-global-portfolio-q2-2021-update,MSFT, Seeking Alpha,,,,,
6,"Mon, 27 Sep 2021 14:31:30 GMT",Surface Laptop Studio vs Dell XPS 13: Which is better? - TrustedReviews,https://www.trustedreviews.com/versus/surface-laptop-studio-vs-dell-xps-13-4169836,NVDA, TrustedReviews,,,,,
7,"Sat, 25 Sep 2021 21:36:16 GMT",AI Research Group From NVIDIA Unveils An Advanced Framework To Estimate Physically Correct Human Motions - MarkTechPost,https://www.marktechpost.com/2021/09/25/ai-research-group-from-nvidia-unveils-an-advanced-framework-to-estimate-physically-correct-human-motions/,NVDA, MarkTechPost,,,,,
8,"Fri, 24 Sep 2021 15:38:16 GMT",Pitch Update: Taco Bell on the hunt for first UK creative agency - CampaignLive,https://www.campaignlive.co.uk/article/pitch-update-taco-bell-hunt-first-uk-creative-agency/1728522,CRM, CampaignLive,,,,,
9,"Fri, 24 Sep 2021 16:45:00 GMT",CLASS ACTION FILING DEADLINE FOR PHG SHAREHOLDERS: Bernstein Liebhard LLP Reminds Investors of the Deadline to File a lead Plaintiff Motion in a Securities Class Action Lawsuit Against Koninklijke Philips N.V. - Yahoo Finance,https://finance.yahoo.com/news/class-action-filing-deadline-phg-164500199.html,ORCL, Yahoo Finance,,,,,
10,"Thu, 23 Sep 2021 21:15:52 GMT",Rivian will open a $4.6M service support center as it prepares for first vehicle sales - Yahoo Tech,https://finance.yahoo.com/news/rivian-open-4-6m-support-211552108.html,AMZN, Yahoo Tech,,,,,
11,"Thu, 23 Sep 2021 13:00:11 GMT","Lenovo ThinkPad X1 Extreme Gen 4 Review: Fast, But Flawed - Digital Trends",https://www.digitaltrends.com/laptop-reviews/lenovo-thinkpad-x1-extreme-gen-4-review/,NVDA, Digital Trends,,,,,
12,"Wed, 22 Sep 2021 22:22:13 GMT",Marketplace 'super seller' Boulevard secures £2.2m - BusinessCloud BusinessCloud - BusinessCloud,https://businesscloud.co.uk/blog/2021/09/22/marketplace-super-seller-boulevard-secures-2-2m/,AMZN, BusinessCloud,,,,,
13,"Mon, 20 Sep 2021 22:09:40 GMT","Netflix reaches 6m to top SVOD rankings, Stan trailing Amazon & Disney+ - Mediaweek",https://www.mediaweek.com.au/netflix-reaches-6m-to-top-svod-rankings-stan-trailing-amazon-disney/,AMZN, Mediaweek,,,,,
14,"Fri, 17 Sep 2021 07:00:00 GMT",Twin or sibling Halloween costumes - USA TODAY,https://www.usatoday.com/story/money/reviewed/2021/09/17/twin-sibling-halloween-costumes/8380735002/,AMZN, USA TODAY,,,,,
15,"Fri, 17 Sep 2021 15:04:58 GMT","Small Cap Wrap - TMT Investments, Thor Mining, RUA Life Sciences and more... - Proactive Investors UK",https://www.proactiveinvestors.co.uk/companies/news/960670/small-cap-wrap---tmt-investments-thor-mining-rua-life-sciences-and-more-960670.html,ORCL, Proactive Investors UK,,,,,
16,"Wed, 15 Sep 2021 07:00:00 GMT","Deadline Reminder: Law Offices of Howard G. Smith Reminds Investors of Looming Deadline in the Class Action Lawsuit Against Katapult Holdings, Inc. (KPLT) - Yahoo Finance",https://finance.yahoo.com/news/deadline-reminder-law-offices-howard-150000848.html,ORCL, Yahoo Finance,,,,,
17,"Mon, 13 Sep 2021 07:00:00 GMT","Energy Wyze, a Solar and Renewable Energy Lead Generation Company, Rolls Out Artificial Intelligence Technology to Further the Touchless Sales Process - EnerCom Inc.",https://www.oilandgas360.com/energy-wyze-a-solar-and-renewable-energy-lead-generation-company-rolls-out-artificial-intelligence-technology-to-further-the-touchless-sales-process/,CRM, EnerCom Inc.,,,,,
18,"Fri, 10 Sep 2021 07:00:00 GMT","Amazon: It's Not Cheap, But Too Promising - Seeking Alpha",https://seekingalpha.com/article/4454524-amazon-its-not-cheap-but-too-promising,ADBE, Seeking Alpha,,,,,
19,"Fri, 10 Sep 2021 07:00:00 GMT","Amazon: It's Not Cheap, But Too Promising - Seeking Alpha",https://seekingalpha.com/article/4454524-amazon-its-not-cheap-but-too-promising,AMZN, Seeking Alpha,,,,,
20,"Fri, 10 Sep 2021 07:00:00 GMT","Amazon: It's Not Cheap, But Too Promising - Seeking Alpha",https://seekingalpha.com/article/4454524-amazon-its-not-cheap-but-too-promising,CRM, Seeking Alpha,,,,,
21,"Fri, 10 Sep 2021 07:00:00 GMT","Amazon: It's Not Cheap, But Too Promising - Seeking Alpha",https://seekingalpha.com/article/4454524-amazon-its-not-cheap-but-too-promising,MSFT, Seeking Alpha,,,,,
