,date,Stock,compound,neg,neu,pos
0,2020-11-02,AAPL,0.743,0.0,0.656,0.344
1,2020-11-24,AAPL,0.0,0.0,1.0,0.0
2,2020-12-24,AAPL,0.3818,0.0,0.698,0.302
3,2020-12-27,AAPL,0.0,0.0,1.0,0.0
4,2021-01-08,AAPL,-0.34,0.375,0.625,0.0
5,2021-01-20,AAPL,0.0,0.0,1.0,0.0
6,2021-01-24,AAPL,0.4404,0.0,0.674,0.326
7,2021-01-25,AAPL,0.0,0.0,1.0,0.0
8,2021-01-27,AAPL,0.1626,0.0,0.9055,0.0945
9,2021-01-28,AAPL,0.2847,0.195,0.3255,0.479
10,2021-02-03,AAPL,0.0,0.0,1.0,0.0
11,2021-02-15,AAPL,0.0258,0.0,0.879,0.121
12,2021-02-18,AAPL,0.0,0.0,1.0,0.0
13,2021-02-21,AAPL,-0.3818,0.157,0.843,0.0
14,2021-02-22,AAPL,-0.6249,0.421,0.579,0.0
15,2021-02-25,AAPL,0.4215,0.0,0.641,0.359
16,2021-03-04,AAPL,0.0,0.0,1.0,0.0
17,2021-03-08,AAPL,0.3875,0.0,0.604,0.396
18,2021-03-18,AAPL,0.0,0.0,1.0,0.0
19,2021-03-22,AAPL,0.6908,0.0,0.551,0.449
20,2021-03-24,AAPL,0.0,0.0,1.0,0.0
21,2021-03-30,AAPL,0.0,0.0,1.0,0.0
22,2021-04-02,AAPL,0.0,0.0,1.0,0.0
23,2021-04-05,AAPL,-0.1626,0.125,0.875,0.0
24,2021-04-08,AAPL,0.0,0.0,1.0,0.0
25,2021-04-22,AAPL,0.0,0.0,1.0,0.0
26,2021-04-26,AAPL,0.0,0.0,1.0,0.0
27,2021-04-28,AAPL,0.0,0.0,1.0,0.0
28,2021-04-30,AAPL,0.6705,0.0,0.593,0.407
29,2021-05-07,AAPL,-0.0258,0.097,0.903,0.0
30,2021-05-09,AAPL,0.4404,0.0,0.674,0.326
31,2021-05-13,AAPL,0.7845,0.0,0.42,0.58
32,2021-05-15,AAPL,0.0,0.0,1.0,0.0
33,2021-05-16,AAPL,0.6908,0.0,0.551,0.449
34,2021-05-18,AAPL,0.5574,0.0,0.603,0.397
35,2021-05-20,AAPL,0.3818,0.214,0.408,0.378
36,2021-05-23,AAPL,0.0,0.0,1.0,0.0
37,2021-05-28,AAPL,-0.23835,0.402,0.598,0.0
38,2021-06-01,AAPL,0.4404,0.0,0.756,0.244
39,2021-06-02,AAPL,0.4019,0.0,0.649,0.351
40,2021-06-03,AAPL,-0.1591,0.069,0.897,0.0345
41,2021-06-04,AAPL,0.0,0.0,1.0,0.0
42,2021-06-08,AAPL,-0.07655,0.175,0.6875,0.1375
43,2021-06-13,AAPL,0.8225,0.0,0.612,0.388
