"Nombre","Símbolo","Último","% var.","Cap. Mercado","Vol."
"Apple","AAPL","2.93K","-0.91%","48.82T","14.54K"
"Microsoft","MSFT","5.91K","-1.55%","45.24T","1.23K"
"Alphabet A","GOOGL","57.00K","0.02%","38.20T","86.00"
"Alphabet C","GOOG","57.46K","0.60%","38.20T","24.00"
"Amazon.com","AMZN","68.18K","-0.67%","34.90T","210.00"
"Facebook","FB","7.11K","0.22%","20.03T","10.27K"
"Tesla","TSLA","16.00K","3.30%","15.41T","3.06K"
"Tesla","TSLA","17.13K","0.00%","15.41T","0.00"
"Berkshire Hathaway B","BRKB","5.61K","0.36%","12.65T","494.00"
"Tencent ADR","TCEHYN","1.21K","0.00%","11.44T","29.00"
"Taiwan Semiconductor","TSMN","2.33K","0.50%","11.32T","33.00"
"NVIDIA","NVDA","4.36K","-1.71%","11.08T","22.87K"
"Visa A","V","4.63K","-0.32%","9.90T","2.96K"
"JPMorgan","JPM","3.37K","2.56%","9.80T","695.00"
"Samsung Electronics DRC","SMSNN","32.68K","0.00%","8.91T","0.00"
"J&J","JNJ","3.28K","0.08%","8.71T","79.00"
"Walmart","WMT","2.86K","-0.63%","8.03T","231.00"
"Alibaba ADR","BABAN","3.03K","4.37%","7.91T","5.27K"
"UnitedHealth","UNH","8.14K","-0.39%","7.72T","43.00"
"Louis Vuitton","MCN","15.44K","0.00%","7.63T","0.00"
"Home Depot","HD","6.76K","0.00%","7.17T","0.00"
"ASML Holding","ASMLN","17.44K","0.00%","7.13T","0.00"
"Bank of America","BAC","873.00","3.05%","7.13T","12.10K"
"Bank of America","BAC","650.00","0.00%","7.13T","0.00"
"Mastercard","MA","7.18K","-0.28%","7.11T","603.00"
"Nestlé","NESNN","2.50K","0.00%","6.78T","0.00"
"PayPal Holdings Inc","PYPL","5.55K","0.16%","6.55T","3.92K"
"Roche Holding Participation","ROGN","7.45K","0.00%","6.47T","0.00"
"Walt Disney","DIS","3.59K","1.32%","6.44T","1.64K"
"Adobe","ADBE","12.19K","-2.09%","5.97T","372.00"
"Salesforce.com","CRM","5.65K","-1.46%","5.62T","10.53K"
"Netflix","NFLX","11.85K","0.62%","5.27T","1.18K"
"Comcast","CMCSA","1.13K","0.00%","5.20T","0.00"
"L'Oréal","ORN","9.08K","0.00%","4.97T","0.00"
"Pfizer","PFE","880.10","-0.48%","4.96T","4.36K"
"Oracle","ORCL","1.83K","0.00%","4.95T","0.00"
"Exxon Mobil","XOM","1.20K","3.54%","4.90T","5.27K"
"Cisco","CSCO","1.14K","0.00%","4.82T","13.00"
"Thermo Fisher Scientific","TMO","12.18K","0.00%","4.82T","0.00"
"Nike","NKE","2.98K","-0.79%","4.76T","1.19K"
"Coca-Cola","KO","1.10K","1.37%","4.68T","189.00"
"Danaher","DHR","6.35K","-2.55%","4.66T","271.00"
"Novo Nordisk ADR","NVON","2.06K","0.00%","4.65T","0.00"
"Unilever ADR","ULN","1.10K","0.00%","4.65T","0.00"
"Verizon","VZ","1.10K","1.55%","4.53T","96.00"
"Abbott Labs","ABT","2.45K","-2.22%","4.44T","292.00"
"Intel","INTC","1.10K","1.06%","4.42T","25.70K"
"Accenture","ACNN","6.80K","0.00%","4.32T","0.00"
"PepsiCo","PEP","3.09K","0.00%","4.29T","0.00"
"Eli Lilly","LLY","4.57K","-2.02%","4.23T","501.00"
